Business ID,Business name,Store ID,Store name,Merchant store ID,Payout date,Currency,Channel,Subtotal,Subtotal tax passed to merchant,Commission,Payment processing fee,Marketing fees | (including any applicable taxes),Customer discounts from marketing | (funded by you),Customer discounts from marketing | (funded by DoorDash),Customer discounts from marketing | (funded by a third-party),DoorDash marketing credit,Third-party contribution,Error charges,Adjustments,Net total,Subtotal tax remitted by DoorDash to tax authorities,Payout ID,Payout status
5579,McDonald's,694592,McDonald's (23727-VERMILION),23727,2025-07-28,USD,Marketplace,3302.12,0.00,-373.56,0.00,-60.39,-452.24,-8.00,0.00,8.00,0.00,-17.89,0.00,2398.04,-6.00,502062775,PAID
5579,McDonald's,694592,McDonald's (23727-VERMILION),23727,2025-07-28,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.67,15.67,0.00,502062775,PAID
5579,McDonald's,694592,McDonald's (23727-VERMILION),23727,2025-07-21,USD,Marketplace,3185.48,0.00,-405.74,0.00,-2.97,-88.49,-39.85,0.00,39.85,0.00,-12.51,20.10,2695.87,-6.93,500273107,PAID
5579,McDonald's,694592,McDonald's (23727-VERMILION),23727,2025-07-21,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.97,16.97,0.00,500273107,PAID
5579,McDonald's,694592,McDonald's (23727-VERMILION),23727,2025-07-14,USD,Marketplace,3402.64,0.00,-425.58,0.00,-4.95,-215.58,-48.22,0.00,48.22,0.00,-16.97,0.00,2739.56,-5.72,498486128,PAID
5579,McDonald's,694592,McDonald's (23727-VERMILION),23727,2025-07-14,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.07,11.07,0.00,498486128,PAID
5579,McDonald's,694592,McDonald's (23727-VERMILION),23727,2025-07-07,USD,Marketplace,3140.41,0.00,-373.55,0.00,-10.89,-278.74,-32.57,0.00,32.57,0.00,-11.07,30.04,2496.20,-7.76,496703175,PAID
5579,McDonald's,694592,McDonald's (23727-VERMILION),23727,2025-07-07,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.71,16.71,0.00,496703175,PAID
5579,McDonald's,694592,McDonald's (23727-VERMILION),23727,2025-06-30,USD,Marketplace,3342.84,0.00,-417.25,0.00,-20.38,-123.70,-57.71,0.00,74.13,0.00,-28.83,45.86,2814.96,-7.55,494941423,PAID
5579,McDonald's,694592,McDonald's (23727-VERMILION),23727,2025-06-30,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.23,12.23,0.00,494941423,PAID
5579,McDonald's,694592,McDonald's (23727-VERMILION),23727,2025-06-23,USD,Marketplace,2446.46,0.00,-311.25,0.00,-1.98,-90.60,-39.38,0.00,39.38,0.00,-35.04,0.00,2007.59,-3.80,493182866,PAID
5579,McDonald's,694592,McDonald's (23727-VERMILION),23727,2025-06-23,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,14.29,0.00,493182866,PAID
5579,McDonald's,701236,McDonald's (19593-GRAFTON),19593,2025-08-18,USD,Marketplace,2033.73,0.00,-227.88,0.00,-32.67,-315.55,-10.00,0.00,10.00,0.00,-17.26,0.00,1440.37,-0.93,507356790,PAID
5579,McDonald's,701236,McDonald's (19593-GRAFTON),19593,2025-08-18,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.60,6.60,0.00,507356790,PAID
5579,McDonald's,701236,McDonald's (19593-GRAFTON),19593,2025-08-11,USD,Marketplace,1320.57,0.00,-153.32,0.00,-38.91,-157.48,-0.10,0.00,0.10,0.00,-31.47,65.72,1005.11,0.00,505613145,PAID
5579,McDonald's,701236,McDonald's (19593-GRAFTON),19593,2025-08-11,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.97,7.97,0.00,505613145,PAID
5579,McDonald's,701236,McDonald's (19593-GRAFTON),19593,2025-08-04,USD,Marketplace,1593.42,0.00,-190.28,0.00,-41.60,-178.79,-4.34,0.00,28.12,0.00,-8.21,19.48,1217.80,-4.93,503849632,PAID
5579,McDonald's,701236,McDonald's (19593-GRAFTON),19593,2025-08-04,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.19,8.19,0.00,503849632,PAID
5579,McDonald's,701236,McDonald's (19593-GRAFTON),19593,2025-07-28,USD,Marketplace,1638.10,0.00,-188.70,0.00,-15.84,-217.31,-2.56,0.00,2.56,0.00,-39.32,0.00,1176.93,-1.81,502070098,PAID
5579,McDonald's,701236,McDonald's (19593-GRAFTON),19593,2025-07-28,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.85,10.85,0.00,502070098,PAID
5579,McDonald's,701236,McDonald's (19593-GRAFTON),19593,2025-07-21,USD,Marketplace,2169.68,0.00,-272.45,0.00,-7.92,-83.59,-32.55,0.00,32.55,0.00,-14.65,22.12,1813.19,-3.55,500283626,PAID
5579,McDonald's,701236,McDonald's (19593-GRAFTON),19593,2025-07-21,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.19,8.19,0.00,500283626,PAID
