Campaign UUID,Offer type,Status,Start date,End date,Stores,Audience,Sales (USD),New customers,Orders,Uber funding (%),Items,folder_name
1fe863a0-381e-48f0-bb80-149c721a479f,"Buy 1, Get 1 Free",CANCELED,"Aug 11, 2025","Aug 29, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-Aug11-Aug17
399ceed3-e074-4360-b204-8fab89c031bb,"Spend 20, Save 5",CANCELED,"Aug 11, 2025","Aug 29, 2025",1,Custom audience,$21,1,1,0,,QSR Executive Enterprises-Aug11-Aug17
62e9d87c-aa57-4339-ad98-4ad0f3373fbb,"Buy 1, Get 1 Free",COMPLETED,"Aug 10, 2025","Aug 11, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-Aug11-Aug17
65d47e71-209e-49de-8620-7b4bbf9ea7aa,Free Item (Spend 20),CANCELED,"Aug 11, 2025","Aug 29, 2025",1,Uber One members only,$0,0,0,0,,QSR Executive Enterprises-Aug11-Aug17
1cd25964-7877-4fa8-9892-b0083af515fe,"Buy 1, Get 1 Free",CANCELED,"Aug 11, 2025","Aug 29, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-Aug11-Aug17
ca4749ba-d3a2-49b0-b8fc-aa27558dcae9,"Spend 20, Save 5",CANCELED,"Aug 11, 2025","Aug 29, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-Aug11-Aug17
d71ffb4f-8901-4003-a28a-9b5fdd1a0998,"Buy 1, Get 1 Free",COMPLETED,"Aug 10, 2025","Aug 11, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-Aug11-Aug17
ac98e0ef-cbc1-4178-b377-aa2a3c1e1f2e,Free Item (Spend 20),CANCELED,"Aug 11, 2025","Aug 29, 2025",1,Uber One members only,$0,0,0,0,,QSR Executive Enterprises-Aug11-Aug17
e2a5dfd3-91d2-4a06-a5dd-1da82562e3ac,"Buy 1, Get 1 Free",CANCELED,"Aug 11, 2025","Aug 29, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-Aug11-Aug17
ac6d775f-a391-4caf-b552-48c191cffe81,"Spend 20, Save 5",CANCELED,"Aug 11, 2025","Aug 29, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-Aug11-Aug17
d642d7ec-502a-41fa-be2c-a28d3ea53076,$0 Delivery Fee,COMPLETED,"Aug 10, 2025","Aug 17, 2025",1,All customers,$0,0,0,100,,QSR Executive Enterprises-Aug11-Aug17
c3fc800b-3451-4c5a-958b-8f65122ec30e,"Buy 1, Get 1 Free",COMPLETED,"Aug 10, 2025","Aug 11, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-Aug11-Aug17
0e345cdc-510e-4ff0-a475-83ab645ec72b,Free Item (Spend 20),CANCELED,"Aug 11, 2025","Aug 29, 2025",1,Uber One members only,$0,0,0,0,,QSR Executive Enterprises-Aug11-Aug17
cb12378c-3050-4245-b182-ddd9077903cd,"Buy 1, Get 1 Free",CANCELED,"Aug 11, 2025","Aug 29, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-Aug11-Aug17
28ec678d-0fa8-47e8-9699-0337ae822541,"Spend 20, Save 5",CANCELED,"Aug 11, 2025","Aug 29, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-Aug11-Aug17
e9d5a9db-3cac-4dce-98c3-d03267bf1604,"Buy 1, Get 1 Free",COMPLETED,"Aug 10, 2025","Aug 11, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-Aug11-Aug17
75661dcb-4944-427d-b69a-f327e5704ac2,Free Item (Spend 20),CANCELED,"Aug 11, 2025","Aug 29, 2025",1,Uber One members only,$0,0,0,0,,QSR Executive Enterprises-Aug11-Aug17
05c2174b-efbc-4bec-a7f8-d8e16799bcb9,"Buy 1, Get 1 Free",CANCELED,"Aug 11, 2025","Aug 29, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-Aug11-Aug17
5dd5a6b7-7404-4f98-9fa0-30538a34d28a,"Spend 20, Save 5",CANCELED,"Aug 11, 2025","Aug 29, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-Aug11-Aug17
f10c3178-359b-421b-9af9-be19b21d4912,"Buy 1, Get 1 Free",COMPLETED,"Aug 10, 2025","Aug 11, 2025",1,Custom audience,$0,0,0,0,,QSR Executive Enterprises-Aug11-Aug17
