Store Name,Shop ID,Store ID,Order Count,Count of Misc payment,Sales (excl. tax),Tax on sales,Sales (incl. tax),Refunds (excl tax),Tax on Refunds,Refunds (incl tax),Price adjustments (excl. tax),Tax on price adjustments,Adjustments (including tax),Promotions on items,Tax on Promotion on items,Promotions on delivery,Tax on Promotions on Delivery,Marketing adjustment,Bag Fee,Marketplace fee,Tax on Marketplace fee,Delivery Network Fee,Tax on delivery network fee,Order Processing Fee,Total Sales after Adjustments (incl tax),Other payments,Marketplace Facilitator Tax,Backup Withholding Tax,Total payout ,Payout Date,Payout reference ID,folder_name,Tax on Sales,Order Error Adjustments,Tax on Order Error Adjustments,Order Error Adjustments (incl. tax),Tax on Price Adjustments,Price Adjustments (incl. tax),Offers on items (incl. tax),Tax On Offers on items,Delivery Offer Redemptions (incl. tax),Tax On Delivery Offer Redemptions,Marketing Adjustment,Marketplace Fee,Tax on Marketplace Fee,Tax on Delivery Network Fee,Capital payments
McDonald's® (Puritas & 143rd St),a198a1e2-b045-4037-996c-f6d56c9b46c9,11366,65,2,1537.54,7.99,1545.53,-10.04,0.0,-10.04,0,0.0,0.0,-172.42,0.0,0.0,0.0,0.0,0,-212.24,0.0,0,0.0,0,1373.11,0.0,-7.99,0.0,1152.01,6/30/25,UXQRW6OUJ6W4WCT,QSR Executive Enterprises-June30-July6,,,,,,,,,,,,,,,
McDonald's® (95 RICHMOND ST),914b0747-950e-436c-b45a-135451e7944a,1807,98,0,2538.51,,2555.13,,,,0,,,,,,,,0,,,0,,0,2179.1,0.0,-16.62,0.0,1799.44,7/28/25,63HUVC2338IA6GV,QSR Executive Enterprises-July28-Aug3,16.62,-32.7,0.0,-32.7,0.0,0.0,-376.03,0.0,0.0,0.0,0.0,-330.34,0.0,0.0,
McDonald's® (2102 RIVER AVE),e970bbdf-f08d-4973-beb7-e5705b9958f8,6678,17,0,610.23,,613.34,,,,0,,,,,,,,0,,,0,,0,544.13,0.0,-3.11,0.0,457.27,7/28/25,FK1SFM4LVNHRWWU,QSR Executive Enterprises-July28-Aug3,3.11,0.0,0.0,0.0,0.0,0.0,-69.21,0.0,0.0,0.0,0.0,-83.75,0.0,0.0,
McDonald's® (3221 OBERLIN AVE),ac90e816-e98a-4464-ba44-06592b167a86,16255,70,0,1857.66,,1867.53,,,,0,,,,,,,,0,,,0,,0,1663.42,0.0,-9.87,0.0,1335.43,7/28/25,SGC3PUM7RTJXE48,QSR Executive Enterprises-July28-Aug3,9.87,-61.69,0.0,-61.69,0.0,0.0,-204.11,0.0,0.0,0.0,0.0,-256.43,0.0,0.0,
McDonald's® (35900 CENTER RIDGE RD),4213c40d-2b4e-40a2-8be5-f3ae4b6ca02f,34162,45,0,1179.4,,1184.62,,,,0,,,,,,,,0,,,0,,0,1027.83,0.0,-5.22,0.0,865.28,7/28/25,VVKWAT88P4TT9RS,QSR Executive Enterprises-July28-Aug3,5.22,0.0,0.0,0.0,0.0,0.0,-156.79,0.0,0.0,0.0,0.0,-157.33,0.0,0.0,
McDonald's® (1725 HENDERSON DRIVE),87d18902-06ce-4939-882a-370dc8ce8dec,24316,66,0,1709.62,,1717.34,,,,0,,,,,,,,0,,,0,,0,1573.46,0.0,-7.72,-307.92,975.03,7/28/25,3Z556LDK3SZ5RL0,QSR Executive Enterprises-July28-Aug3,7.72,-39.08,0.0,-39.08,0.0,0.0,-143.88,0.0,0.0,0.0,0.0,-243.71,0.0,0.0,
McDonald's® (412 Main St),9376c1e8-6220-4e4b-b294-87880ece685c,19593,8,0,186.38,,189.41,,,,0,,,,,,,,0,,,0,,0,164.14,0.0,-3.03,0.0,108.26,7/28/25,5LBSXP5A5AHCNJM,QSR Executive Enterprises-July28-Aug3,3.03,-27.78,0.0,-27.78,0.0,0.0,-25.27,0.0,0.0,0.0,0.0,-25.07,0.0,0.0,
McDonald's® (908 W PERKINS),ea956b12-1aa6-4350-8dfd-1b5d61c10b23,12283,19,1,527.49,,530.54,,,,0,,,,,,,,0,,,0,,0,459.06,-22.67,-3.05,0.0,357.44,7/28/25,5LI6QCTQCVIB72D,QSR Executive Enterprises-July28-Aug3,3.05,-5.19,0.0,-5.19,0.0,0.0,-71.48,0.0,0.0,0.0,0.0,-70.71,0.0,0.0,
McDonald's® (117th St & Detroit),491f182f-a4e2-4f38-a00b-1aee28d778da,1568,331,8,7631.9,,7670.48,,,,0,,,,,,,,0,,,0,,0,6228.35,-17.21,-37.92,0.0,5059.39,7/28/25,7KZM2LAR5RZIA31,QSR Executive Enterprises-July28-Aug3,38.58,-153.22,-0.66,-153.88,0.0,0.0,-1442.13,0.0,0.0,0.0,0.0,-959.95,0.0,0.0,
McDonald's® (32528 LORAIN RD),bde8a002-39d6-4f1e-b33f-1d64a3fa32ca,16875,110,0,2997.06,,3010.36,,,,0,,,,,,,,0,,,0,,0,2684.31,0.0,-13.3,0.0,2234.65,7/29/25,C9QV05D90C64GME,QSR Executive Enterprises-July28-Aug3,13.3,-24.0,0.0,-24.0,0.0,0.0,-326.05,0.0,0.0,0.0,0.0,-412.36,0.0,0.0,
McDonald's® (2118 Cleveland Rd W),71c6a949-9742-4f39-b06e-718610aca49a,6106,1,0,20.38,,20.84,,,,0,,,,,,,,0,,,0,,0,20.84,0.0,-0.46,0.0,17.12,7/28/25,8OPNB8OFA0QM7LB,QSR Executive Enterprises-July28-Aug3,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.26,0.0,0.0,
McDonald's® (Puritas & 143rd St),a198a1e2-b045-4037-996c-f6d56c9b46c9,11366,76,0,2002.46,,2009.33,,,,0,,,,,,,,0,,,0,,0,1770.37,0.0,-6.87,0.0,1483.64,7/28/25,V0SV1LDYXSKN416,QSR Executive Enterprises-July28-Aug3,6.87,-11.08,0.0,-11.08,0.0,0.0,-238.96,0.0,0.0,0.0,0.0,-268.78,0.0,0.0,
McDonald's® (1582 MENTOR AVE),bb8cdad5-292d-45b0-8d99-161e2c07ef8d,10705,21,0,631.34,,632.57,,,,0,,,,,,,,0,,,0,,0,559.2,0.0,-1.23,0.0,474.29,7/28/25,OKJDIOE533ABH0B,QSR Executive Enterprises-July28-Aug3,1.23,0.0,0.0,0.0,0.0,0.0,-73.37,0.0,0.0,0.0,0.0,-83.68,0.0,0.0,
McDonald's® (Lorain & 226th St),18963aec-6a43-4d25-b62c-a6aaf5644d5f,174,85,0,2045.13,,2055.83,,,,0,,,,,,,,0,,,0,,0,1696.07,0.0,-10.7,0.0,1322.26,7/28/25,CVRWUFRTUPR9BBM,QSR Executive Enterprises-July28-Aug3,10.7,-103.36,0.0,-103.36,0.0,0.0,-359.76,0.0,0.0,0.0,0.0,-259.75,0.0,0.0,
McDonald's® (249 Benedict Ave),e491d6e9-a063-4943-81ed-5db185c208ec,3401,1,0,14.35,,14.35,,,,0,,,,,,,,0,,,0,,0,14.35,0.0,0.0,0.0,12.05,7/28/25,DFATN9XS9KOCDRI,QSR Executive Enterprises-July28-Aug3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3,0.0,0.0,
McDonald's® (4204 MILAN ROAD),eee7f2d1-f345-4d2b-b24e-08abe3c24f17,32777,4,0,141.91,,142.62,,,,0,,,,,,,,0,,,0,,0,111.55,0.0,-0.71,0.0,89.05,7/29/25,F0CTA4SSO415PQV,QSR Executive Enterprises-July28-Aug3,0.71,-4.05,0.0,-4.05,0.0,0.0,-31.07,0.0,0.0,0.0,0.0,-17.74,0.0,0.0,
McDonald's® (Lorain & Dover Center),67ae0730-77ff-491f-a800-6535242e3a09,817,150,0,3776.06,,3793.34,,,,0,,,,,,,,0,,,0,,0,3238.04,0.0,-16.27,0.0,2682.93,7/28/25,C50GO8U5X0ZF20G,QSR Executive Enterprises-July28-Aug3,17.28,-46.32,-1.01,-47.33,0.0,0.0,-555.3,0.0,0.0,0.0,0.0,-491.51,0.0,0.0,
McDonald's® (95 RICHMOND ST),914b0747-950e-436c-b45a-135451e7944a,1807,109,0,2798.38,,2804.77,,,,0,,,,,,,,0,,,0,,0,2340.07,0.0,-6.25,0.0,1962.22,8/5/25,GKSI9L7OQXA0IM9,QSR Executive Enterprises-Aug4-Aug10,6.39,-14.76,-0.14,-14.9,0.0,0.0,-464.7,0.0,0.0,0.0,0.0,-356.7,0.0,0.0,
McDonald's® (2102 RIVER AVE),e970bbdf-f08d-4973-beb7-e5705b9958f8,6678,32,0,879.21,,881.02,,,,0,,,,,,,,0,,,0,,0,741.04,0.0,-1.81,0.0,627.11,8/4/25,3N26K2GFI6QLFK2,QSR Executive Enterprises-Aug4-Aug10,1.81,0.0,0.0,0.0,0.0,0.0,-139.98,0.0,0.0,0.0,0.0,-112.12,0.0,0.0,
McDonald's® (3221 OBERLIN AVE),ac90e816-e98a-4464-ba44-06592b167a86,16255,90,0,2501.48,,2509.98,,,,0,,,,,,,,0,,,0,,0,2204.6,0.0,-8.5,0.0,1800.28,8/5/25,FK923LRT59K65CV,QSR Executive Enterprises-Aug4-Aug10,8.5,-54.74,0.0,-54.74,0.0,0.0,-305.38,0.0,0.0,0.0,0.0,-341.08,0.0,0.0,
McDonald's® (35900 CENTER RIDGE RD),4213c40d-2b4e-40a2-8be5-f3ae4b6ca02f,34162,41,0,1182.68,,1184.67,,,,0,,,,,,,,0,,,0,,0,1034.48,0.0,-1.99,0.0,862.87,8/5/25,FTSLREUT81IA8M6,QSR Executive Enterprises-Aug4-Aug10,1.99,-11.48,0.0,-11.48,0.0,0.0,-150.19,0.0,0.0,0.0,0.0,-158.14,0.0,0.0,
McDonald's® (1725 HENDERSON DRIVE),87d18902-06ce-4939-882a-370dc8ce8dec,24316,91,0,2099.84,,2104.45,,,,0,,,,,,,,0,,,0,,0,1842.13,0.0,-3.92,-365.58,1149.37,8/4/25,6TBFT0PCIAW8TCG,QSR Executive Enterprises-Aug4-Aug10,4.61,-36.75,-0.69,-37.44,0.0,0.0,-262.32,0.0,0.0,0.0,0.0,-285.82,0.0,0.0,
McDonald's® (412 Main St),9376c1e8-6220-4e4b-b294-87880ece685c,19593,2,0,48.49,,48.49,,,,0,,,,,,,,0,,,0,,0,39.81,0.0,0.0,0.0,33.65,8/4/25,DXCKXU2T2KDN330,QSR Executive Enterprises-Aug4-Aug10,0.0,0.0,0.0,0.0,0.0,0.0,-8.68,0.0,0.0,0.0,0.0,-6.16,0.0,0.0,
McDonald's® (908 W PERKINS),ea956b12-1aa6-4350-8dfd-1b5d61c10b23,12283,22,0,542.0,,544.4,,,,0,,,,,,,,0,,,0,,0,506.48,0.0,-2.4,0.0,417.01,8/4/25,L2IUPK5RCPHOK98,QSR Executive Enterprises-Aug4-Aug10,2.4,-11.49,0.0,-11.49,0.0,0.0,-37.92,0.0,0.0,0.0,0.0,-75.58,0.0,0.0,
McDonald's® (117th St & Detroit),491f182f-a4e2-4f38-a00b-1aee28d778da,1568,349,9,8306.8,,8328.56,,,,0,,,,,,,,0,,,0,,0,6681.66,-21.58,-21.08,0.0,5532.92,8/5/25,YT2H1IRM7FIRVMB,QSR Executive Enterprises-Aug4-Aug10,21.76,-73.68,-0.68,-74.36,0.0,0.0,-1646.9,0.0,0.0,0.0,0.0,-1031.72,0.0,0.0,
McDonald's® (32528 LORAIN RD),bde8a002-39d6-4f1e-b33f-1d64a3fa32ca,16875,118,0,3160.1,,3171.44,,,,0,,,,,,,,0,,,0,,0,2785.49,0.0,-11.34,0.0,2327.57,8/5/25,7ZJYO2ZV5FQEFX0,QSR Executive Enterprises-Aug4-Aug10,11.34,-18.58,0.0,-18.58,0.0,0.0,-385.95,0.0,0.0,0.0,0.0,-428.0,0.0,0.0,
McDonald's® (2118 Cleveland Rd W),71c6a949-9742-4f39-b06e-718610aca49a,6106,1,0,15.75,,15.75,,,,0,,,,,,,,0,,,0,,0,15.75,0.0,0.0,0.0,13.23,8/4/25,3Z2EAE2W18H65HQ,QSR Executive Enterprises-Aug4-Aug10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.52,0.0,0.0,
McDonald's® (Puritas & 143rd St),a198a1e2-b045-4037-996c-f6d56c9b46c9,11366,75,0,1785.25,,1791.27,,,,0,,,,,,,,0,,,0,,0,1471.71,0.0,-5.54,0.0,1235.72,8/4/25,KYP8LQ8OPQ4MEDL,QSR Executive Enterprises-Aug4-Aug10,6.02,-5.99,-0.48,-6.47,0.0,0.0,-319.56,0.0,0.0,0.0,0.0,-223.98,0.0,0.0,
McDonald's® (1582 MENTOR AVE),bb8cdad5-292d-45b0-8d99-161e2c07ef8d,10705,22,0,582.02,,583.91,,,,0,,,,,,,,0,,,0,,0,470.19,0.0,-1.89,0.0,371.62,8/4/25,VW3R0M4WHPXVBEB,QSR Executive Enterprises-Aug4-Aug10,1.89,-27.09,0.0,-27.09,0.0,0.0,-113.72,0.0,0.0,0.0,0.0,-69.59,0.0,0.0,
McDonald's® (Lorain & 226th St),18963aec-6a43-4d25-b62c-a6aaf5644d5f,174,83,0,2201.73,,2208.84,,,,0,,,,,,,,0,,,0,,0,1812.91,0.0,-7.11,0.0,1519.78,8/4/25,HT5W859ZOSSOBGQ,QSR Executive Enterprises-Aug4-Aug10,7.11,-9.48,0.0,-9.48,0.0,0.0,-395.93,0.0,0.0,0.0,0.0,-276.54,0.0,0.0,
McDonald's® (249 Benedict Ave),e491d6e9-a063-4943-81ed-5db185c208ec,3401,2,0,35.02,,35.02,,,,0,,,,,,,,0,,,0,,0,28.63,0.0,0.0,0.0,24.38,8/5/25,SOGCU39Q3SBOV5Z,QSR Executive Enterprises-Aug4-Aug10,0.0,0.0,0.0,0.0,0.0,0.0,-6.39,0.0,0.0,0.0,0.0,-4.25,0.0,0.0,
McDonald's® (4204 MILAN ROAD),eee7f2d1-f345-4d2b-b24e-08abe3c24f17,32777,1,0,21.64,,22.08,,,,0,,,,,,,,0,,,0,,0,18.03,0.0,-0.44,0.0,15.13,8/5/25,C9R7PFMQZ3XHKJH,QSR Executive Enterprises-Aug4-Aug10,0.44,0.0,0.0,0.0,0.0,0.0,-4.05,0.0,0.0,0.0,0.0,-2.46,0.0,0.0,
McDonald's® (Lorain & Dover Center),67ae0730-77ff-491f-a800-6535242e3a09,817,133,0,3356.53,,3363.29,,,,0,,,,,,,,0,,,0,,0,2770.58,0.0,-5.49,0.0,2304.12,8/5/25,AT23719358F6UE9,QSR Executive Enterprises-Aug4-Aug10,6.76,-38.67,-1.27,-39.94,0.0,0.0,-592.71,0.0,0.0,0.0,0.0,-421.03,0.0,0.0,
