Campaign UUID,Offer type,Status,Start date,End date,Stores,Audience,Sales (USD),New customers,Orders,Uber funding (%),Items
61d33e47-6328-4441-97d9-8de396154dfb,"Buy 1, Get 1 Free",COMPLETED,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$0",0,0,0,""
8dd9c272-ca6a-4ccb-8596-c3916fe63692,"Buy 1, Get 1 Free",COMPLETED,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$0",0,0,0,""
9650e1c0-2377-4f6b-9207-b70bb89003a2,"Buy 1, Get 1 Free",COMPLETED,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$0",0,0,0,""
114fc390-a530-49b3-a246-b7c3a78411a2,"Buy 1, Get 1 Free",COMPLETED,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$0",0,0,0,""
ada29bd1-a20e-438e-a772-39881d9bfa71,"Buy 1, Get 1 Free",COMPLETED,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$0",0,0,0,""
a6bfc9b2-6a3a-4d4d-b212-6d82c6f49d0f,"Buy 1, Get 1 Free",COMPLETED,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$0",0,0,0,""
1a38d38a-9466-440a-84c9-78afc9bd6677,"Buy 1, Get 1 Free",COMPLETED,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$0",0,0,0,""
204da8f0-004a-4d0c-8cfd-293418c50829,"Buy 1, Get 1 Free",COMPLETED,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$96",0,1,0,"6 pc. Chicken McNuggets®"
ca7e1dba-deb9-42cf-b610-b4d71d9f197d,"Buy 1, Get 1 Free",COMPLETED,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$66",0,2,0,"Sausage & Egg McMuffin®"
28eb44bd-c491-4712-9a13-afe30ad475e3,"Buy 1, Get 1 Free",COMPLETED,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$0",0,0,0,""
49a618d4-5726-42da-813d-b22514cd8aee,"Buy 1, Get 1 Free",COMPLETED,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$0",0,0,0,""
dc09adfe-a3d2-44ad-b57d-d36184f9a436,"Buy 1, Get 1 Free",COMPLETED,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$0",0,0,0,""
8ea7b558-da13-47be-a53b-b99c209e7010,"Buy 1, Get 1 Free",COMPLETED,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$0",0,0,0,""
366ccc5c-6127-48c7-8b56-e75b23cb3ad7,"Buy 1, Get 1 Free",COMPLETED,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$15",0,1,0,"6 pc. Chicken McNuggets®"
055ff2aa-2fc5-44a9-bad1-76be9700301f,"Buy 1, Get 1 Free",COMPLETED,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$0",0,0,0,""
4699195c-d633-4a13-a52b-aa33ae60b35f,"Buy 1, Get 1 Free",COMPLETED,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$0",0,0,0,""
64512321-6c54-403a-be49-78913e74ae7c,"Buy 1, Get 1 Free",COMPLETED,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$0",0,0,0,""
b76289bd-c4c0-40cf-a7ca-2b792982e2c7,"Buy 1, Get 1 Free",COMPLETED,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$0",0,0,0,""
53edba29-2381-46fc-bc75-fd453cd43331,"Buy 1, Get 1 Free",COMPLETED,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$0",0,0,0,""
e13a2079-528e-4a5f-a6df-3f55fd0b806f,"Buy 1, Get 1 Free",COMPLETED,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$16",0,1,0,"6 pc. Chicken McNuggets®"
8b23cfd8-6eb4-4dc1-80a1-0a6d3791a5be,"Buy 1, Get 1 Free",COMPLETED,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$0",0,0,0,""
90518132-7f3d-4ad7-ab73-d6f4fccfcb15,"Buy 1, Get 1 Free",COMPLETED,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$258",3,10,0,"6 pc. Chicken McNuggets®"
7d9fc543-fd43-4386-83d9-2edd5ff92851,"Buy 1, Get 1 Free",COMPLETED,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$108",0,4,0,"Sausage & Egg McMuffin®"
5ab18247-f061-4b90-aad3-d64d4ac8e248,"Buy 1, Get 1 Free",COMPLETED,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$69",1,2,0,"6 pc. Chicken McNuggets®"
1c637d7e-4524-4243-b997-f0e39b7e3426,"Buy 1, Get 1 Free",COMPLETED,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$0",0,0,0,""
aea75c0f-396e-41bf-b0e0-fcd2dd28d480,"Buy 1, Get 1 Free",COMPLETED,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$0",0,0,0,""
8b058489-3e24-41e5-a35d-4cd502cc1b3c,"Buy 1, Get 1 Free",COMPLETED,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$0",0,0,0,""
8ab5840c-9c1d-4488-8a0f-790fda8d0aba,"Buy 1, Get 1 Free",COMPLETED,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$0",0,0,0,""
357de51f-1a42-4665-9daf-926c12ffb303,"Buy 1, Get 1 Free",COMPLETED,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$0",0,0,0,""
48e68fcc-abca-4315-ad2a-da670734741e,"Buy 1, Get 1 Free",COMPLETED,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$74",0,2,0,"6 pc. Chicken McNuggets®"
59e74f9d-4196-42a7-ab1a-1730225fcfb3,"Buy 1, Get 1 Free",COMPLETED,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$0",0,0,0,""
aa6e567b-e8d5-46db-aa0d-0f7d4c7373d0,"Buy 1, Get 1 Free",COMPLETED,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$0",0,0,0,""
a8fa15a4-c704-40cb-a14e-b667e29bce17,"Buy 1, Get 1 Free",COMPLETED,"Jun 25, 2025","Jun 30, 2025",1,"All customers","$0",0,0,0,""
