Date,Is self serve campaign,Campaign ID,Campaign name,Campaign start date,Campaign end date,Store ID,Store name,Currency,Impressions,Clicks,Orders,Sales,Marketing fees | (including any applicable taxes),DoorDash marketing credit,Third-party contribution,Average order value,Average CPA,ROAS,New customers acquired,Existing customers acquired,Total customers acquired
2025-07-25,false,0078ffcf-2b67-4434-8596-77d079607494,McDonald's Ad Campaign (GCM) 7/24-7/27/25,2025-07-24,2025-07-28,685609,McDonald's (16255-LORAIN),USD,37,3,2,33.02,6.00,0.00,0.00,16.51,3.00,5.50,0,1,2
2025-07-26,false,0078ffcf-2b67-4434-8596-77d079607494,McDonald's Ad Campaign (GCM) 7/24-7/27/25,2025-07-24,2025-07-28,685609,McDonald's (16255-LORAIN),USD,30,5,2,51.32,6.00,0.00,0.00,25.66,3.00,8.55,1,1,2
2025-07-27,false,0078ffcf-2b67-4434-8596-77d079607494,McDonald's Ad Campaign (GCM) 7/24-7/27/25,2025-07-24,2025-07-28,685609,McDonald's (16255-LORAIN),USD,34,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-07-28,false,0078ffcf-2b67-4434-8596-77d079607494,McDonald's Ad Campaign (GCM) 7/24-7/27/25,2025-07-24,2025-07-28,685609,McDonald's (16255-LORAIN),USD,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-07-28,false,d4bc0a95-f827-4a41-a14e-da1c9485d9b9,SL - Coca Cola (No Image - DD Funded) 7/28-7/31/25,2025-07-28,2025-08-01,685609,McDonald's (16255-LORAIN),USD,55,4,2,37.76,10.44,-10.44,0.00,18.88,5.22,3.62,0,2,2
2025-07-28,false,52f6984f-cd32-4ffd-b799-66b9c892fbd6,SL - Coca Cola (Image - DD Funded) 7/28-7/31/25,2025-07-28,2025-08-01,685609,McDonald's (16255-LORAIN),USD,68,9,6,102.47,31.44,-31.44,0.00,17.08,5.24,3.26,0,6,6
2025-07-29,false,d4bc0a95-f827-4a41-a14e-da1c9485d9b9,SL - Coca Cola (No Image - DD Funded) 7/28-7/31/25,2025-07-28,2025-08-01,685609,McDonald's (16255-LORAIN),USD,96,6,1,15.26,3.76,-3.76,0.00,15.26,3.76,4.06,0,1,1
2025-07-29,false,52f6984f-cd32-4ffd-b799-66b9c892fbd6,SL - Coca Cola (Image - DD Funded) 7/28-7/31/25,2025-07-28,2025-08-01,685609,McDonald's (16255-LORAIN),USD,98,14,9,288.86,54.11,-54.11,0.00,32.10,6.01,5.34,0,9,9
2025-07-30,false,52f6984f-cd32-4ffd-b799-66b9c892fbd6,SL - Coca Cola (Image - DD Funded) 7/28-7/31/25,2025-07-28,2025-08-01,685609,McDonald's (16255-LORAIN),USD,82,9,4,116.69,24.91,-24.91,0.00,29.17,6.23,4.68,1,3,4
2025-07-30,false,d4bc0a95-f827-4a41-a14e-da1c9485d9b9,SL - Coca Cola (No Image - DD Funded) 7/28-7/31/25,2025-07-28,2025-08-01,685609,McDonald's (16255-LORAIN),USD,78,17,10,242.69,54.00,-54.00,0.00,24.27,5.40,4.49,0,9,10
2025-07-31,false,d4bc0a95-f827-4a41-a14e-da1c9485d9b9,SL - Coca Cola (No Image - DD Funded) 7/28-7/31/25,2025-07-28,2025-08-01,685609,McDonald's (16255-LORAIN),USD,69,6,3,52.31,13.98,-13.98,0.00,17.44,4.66,3.74,0,3,3
2025-07-31,false,52f6984f-cd32-4ffd-b799-66b9c892fbd6,SL - Coca Cola (Image - DD Funded) 7/28-7/31/25,2025-07-28,2025-08-01,685609,McDonald's (16255-LORAIN),USD,86,9,3,52.81,14.06,-14.06,0.00,17.60,4.69,3.76,0,3,3
2025-08-01,false,52f6984f-cd32-4ffd-b799-66b9c892fbd6,SL - Coca Cola (Image - DD Funded) 7/28-7/31/25,2025-07-28,2025-08-01,685609,McDonald's (16255-LORAIN),USD,20,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-08-01,false,d4bc0a95-f827-4a41-a14e-da1c9485d9b9,SL - Coca Cola (No Image - DD Funded) 7/28-7/31/25,2025-07-28,2025-08-01,685609,McDonald's (16255-LORAIN),USD,25,4,2,37.42,7.99,-7.99,0.00,18.71,4.00,4.68,0,2,2
2025-06-23,false,7b5ed519-1f0b-4df7-92af-dda632acc27f,McDonald's Ad Campaign (GCM) 6/23-6/25/25,2025-06-23,2025-06-26,686933,McDonald's (24316-HENDERSON),USD,44,3,2,37.50,6.00,0.00,0.00,18.75,3.00,6.25,0,2,2
2025-06-24,false,7b5ed519-1f0b-4df7-92af-dda632acc27f,McDonald's Ad Campaign (GCM) 6/23-6/25/25,2025-06-23,2025-06-26,686933,McDonald's (24316-HENDERSON),USD,74,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-06-25,false,7b5ed519-1f0b-4df7-92af-dda632acc27f,McDonald's Ad Campaign (GCM) 6/23-6/25/25,2025-06-23,2025-06-26,686933,McDonald's (24316-HENDERSON),USD,43,7,3,49.81,9.00,0.00,0.00,16.60,3.00,5.53,1,2,3
2025-06-26,false,790e65ea-7d60-45fa-b097-49b02152df8d,SL - McDonald's (New Cx - DD Funded) 6/26-6/30/25 ,2025-06-26,2025-07-01,686933,McDonald's (24316-HENDERSON),USD,41,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-06-26,false,a0401340-107b-4f91-8d4f-c64765541eb1,SL - McDonald's (Lapsed Cx - DD Funded) 6/26-6/30/25,2025-06-26,2025-07-01,686933,McDonald's (24316-HENDERSON),USD,88,4,1,38.65,3.20,-3.20,0.00,38.65,3.20,12.08,0,1,1
2025-06-26,false,7b5ed519-1f0b-4df7-92af-dda632acc27f,McDonald's Ad Campaign (GCM) 6/23-6/25/25,2025-06-23,2025-06-26,686933,McDonald's (24316-HENDERSON),USD,22,3,2,37.61,6.00,0.00,0.00,18.81,3.00,6.27,0,1,2
2025-06-27,false,a0401340-107b-4f91-8d4f-c64765541eb1,SL - McDonald's (Lapsed Cx - DD Funded) 6/26-6/30/25,2025-06-26,2025-07-01,686933,McDonald's (24316-HENDERSON),USD,164,14,5,162.72,16.48,-16.48,0.00,32.54,3.30,9.87,0,5,5
2025-06-27,false,790e65ea-7d60-45fa-b097-49b02152df8d,SL - McDonald's (New Cx - DD Funded) 6/26-6/30/25 ,2025-06-26,2025-07-01,686933,McDonald's (24316-HENDERSON),USD,98,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-06-28,false,a0401340-107b-4f91-8d4f-c64765541eb1,SL - McDonald's (Lapsed Cx - DD Funded) 6/26-6/30/25,2025-06-26,2025-07-01,686933,McDonald's (24316-HENDERSON),USD,162,13,3,38.60,9.60,-9.60,0.00,12.87,3.20,4.02,0,3,3
2025-06-28,false,790e65ea-7d60-45fa-b097-49b02152df8d,SL - McDonald's (New Cx - DD Funded) 6/26-6/30/25 ,2025-06-26,2025-07-01,686933,McDonald's (24316-HENDERSON),USD,65,9,3,73.66,10.17,-10.17,0.00,24.55,3.39,7.24,3,0,3
2025-06-29,false,a0401340-107b-4f91-8d4f-c64765541eb1,SL - McDonald's (Lapsed Cx - DD Funded) 6/26-6/30/25,2025-06-26,2025-07-01,686933,McDonald's (24316-HENDERSON),USD,156,7,3,59.70,9.60,-9.60,0.00,19.90,3.20,6.22,0,3,3
2025-06-29,false,790e65ea-7d60-45fa-b097-49b02152df8d,SL - McDonald's (New Cx - DD Funded) 6/26-6/30/25 ,2025-06-26,2025-07-01,686933,McDonald's (24316-HENDERSON),USD,90,7,2,50.62,6.40,-6.40,0.00,25.31,3.20,7.91,2,0,2
2025-06-30,false,a0401340-107b-4f91-8d4f-c64765541eb1,SL - McDonald's (Lapsed Cx - DD Funded) 6/26-6/30/25,2025-06-26,2025-07-01,686933,McDonald's (24316-HENDERSON),USD,209,13,1,11.68,3.20,-3.20,0.00,11.68,3.20,3.65,0,0,1
